#,Home,Away,Home_Proj,Away_Proj,xSpread,xTotal,Spread,Total,Spread Edge,Total Edge,Spread Bet,Total Bet,HomeLogo,AwayLogo
1,Massachusetts,Bowling Green,14.7,31,16.3,45.6,14,44.5,2.3,1.1,Bowling Green,Over,https://a.espncdn.com/i/teamlogos/ncaa/500/ncaa.png,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
2,Eastern Michigan,Western Michigan,23.3,24.1,0.8,47.4,10,49.5,9.2,2.1,Eastern Michigan,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png
3,Memphis,Navy,42.8,28.2,-14.7,71,-4,57.5,10.7,13.5,Memphis,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
4,Mississippi State,Ole Miss,29.3,40.3,11.1,69.6,7,62.5,4.1,7.1,Ole Miss,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png
5,Kansas,Utah,25.1,42.6,17.5,67.7,10.5,60,7,7.7,Utah,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
6,Nebraska,Iowa,19.7,27.1,7.3,46.8,6,39.5,1.3,7.3,Iowa,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
7,Buffalo,Ohio,21.3,27.1,5.8,48.5,7,44.5,1.2,4,Buffalo,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
8,Northern Illinois,Kent State,25.5,17.3,-8.2,42.8,-5.5,45.5,2.7,2.7,Northern Illinois,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
9,Colorado State,Air Force,29,32.2,3.2,61.1,2.5,47.5,0.7,13.6,Air Force,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
10,Georgia Tech,Georgia,23.2,45.3,22.2,68.5,14,59.5,8.2,9,Georgia,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
11,New Mexico,San Diego State,15.7,20.3,4.6,36,1.5,41.5,3.1,5.5,San Diego State,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png
12,North Texas,Temple,47.9,16.5,-31.3,64.4,-20.5,65.5,10.8,1.1,North Texas,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png
13,Utah State,Boise State,28.4,26.5,-1.9,55,1.5,55.5,3.4,0.5,Utah State,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
14,Purdue,Indiana,15.5,44.1,28.6,59.6,28.5,53.5,0.1,6.1,Indiana,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
15,Texas,Texas A&M,25.3,26.6,1.3,51.9,2.5,52.5,1.2,0.6,Texas,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
16,Arizona State,Arizona,22.7,24.5,1.8,47.2,1.5,47.5,0.3,0.3,Arizona,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
17,Michigan,Ohio State,19.2,29.8,10.6,49,10,44.5,0.6,4.5,Ohio State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
18,West Virginia,Texas Tech,14.8,38.4,23.6,53.2,23.5,53.5,0.1,0.3,Texas Tech,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
19,Pittsburgh,Miami,21.6,33.4,11.8,55.1,6.5,50.5,5.3,4.6,Miami,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
20,Baylor,Houston,37.7,29.6,-8.1,67.3,-2.5,61.5,5.6,5.8,Baylor,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
21,Louisville,Kentucky,22.2,22.3,0.1,44.6,-3,47.5,3.1,2.9,Kentucky,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
22,South Carolina,Clemson,23.6,20.7,-2.9,44.4,-2.5,46.5,0.4,2.1,South Carolina,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
23,Kansas State,Colorado,37.5,19,-18.4,56.5,-17.5,52,0.9,4.5,Kansas State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png
24,Oklahoma State,Iowa State,17,34,17,51,14,47.5,3,3.5,Iowa State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
25,Florida Atlantic,East Carolina,25.9,37.5,11.7,63.4,6.5,67,5.2,3.6,East Carolina,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
26,Central Michigan,Toledo,17.4,28,10.6,45.4,10.5,44.5,0.1,0.9,Toledo,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
