#,Home,Away,Home_Proj,Away_Proj,xSpread,xTotal,Spread,Total,Spread Edge,Total Edge,Spread Bet,Total Bet,HomeLogo,AwayLogo
1,Kennesaw State,UTEP,28.3,16.5,-11.8,44.7,-11.5,52.5,-0.3,7.8,Kennesaw State,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
2,Texas State,James Madison,27.7,34.7,6.9,62.4,7.0,55.5,-0.1,-6.9,Texas State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png
3,Middle Tennessee,Jacksonville State,27.1,31,3.9,58.1,4.0,54.0,-0.1,-4.1,Middle Tennessee,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png
4,Missouri State,Florida International,23.3,20.1,-3.2,43.4,-3.0,49.5,-0.2,6.1,Missouri State,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
5,Coastal Carolina,Marshall,22.4,25.8,3.4,48.2,6.5,54.5,-3.1,6.3,Coastal Carolina,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png
6,UTSA,Tulane,22.7,28.1,5.3,50.8,5.5,54.5,-0.2,3.7,UTSA,Under,https://a.espncdn.com/i/teamlogos/ncaa/500/ncaa.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
7,Rice,Memphis,18.4,33.5,15.1,52,14.0,48.5,1.1,-3.5,Memphis,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png
8,Syracuse,North Carolina,18.7,18,-0.7,36.7,-1.5,45.5,0.8,8.8,North Carolina,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
9,Louisiana Tech,Sam Houston,30.9,15.6,-15.3,46.6,-16.5,48.5,1.2,1.9,Sam Houston,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,https://a.espncdn.com/i/teamlogos/ncaa/500/ncaa.png
10,Ohio State,Penn State,36.2,17.1,-19.2,53.3,-18.5,44.5,-0.7,-8.8,Ohio State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
11,Texas,Vanderbilt,28.8,20.2,-8.6,49.1,-3.0,46.5,-5.6,-2.6,Texas,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
12,SMU,Miami,22,28.6,6.7,50.6,10.5,50.5,-3.8,-0.1,SMU,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
13,Houston,West Virginia,29.6,19.5,-10.1,49,-13.5,48.5,3.4,-0.5,West Virginia,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png
14,Illinois,Rutgers,48.3,32.2,-16.1,80.5,-13.5,62.5,-2.6,-18,Illinois,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
15,Clemson,Duke,30.2,28.2,-2,58.5,-3.5,54.5,1.5,-4,Duke,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
16,Baylor,UCF,31.4,31.9,0.4,63.3,-3.5,59.5,3.9,-3.8,UCF,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
17,UConn,UAB,41.3,27,-14.3,68.3,-11.5,62.5,-2.8,-5.8,UConn,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png
18,Air Force,Army,34,37.7,3.7,71.6,-1.5,48.5,5.2,-23.1,Army,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
19,North Texas,Navy,50.6,30.9,-19.6,81.5,-6.5,65.5,-13.1,-16,North Texas,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
20,Bowling Green,Buffalo,27.8,19.4,-8.4,47.3,-2.5,43.5,-5.9,-3.8,Bowling Green,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
21,Iowa State,Arizona State,29,25.1,-3.9,54.1,-7.5,49.5,3.6,-4.6,Arizona State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
22,Temple,East Carolina,19.2,31.9,12.7,51.2,5.5,57.5,7.2,6.3,East Carolina,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
23,Virginia Tech,Louisville,22.7,37.1,14.5,59.8,10.5,53.5,4,-6.3,Louisville,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
24,UNLV,New Mexico,38.3,33.3,-4.9,71.6,-4.0,61.5,-0.9,-10.1,UNLV,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
