Home,Away,Home Logo,Away Logo,xHome,xAway,xSpread,xTotal,Spread Edge,Total Edge,Vegas_Spread,Vegas_Total,Spread Bet,Total Bet
MIA,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,26.5,28.1,1.6,54.6,6.90,3.14,8.5,51.5,MIA,Over
CIN,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,28.1,26.4,-1.6,54.5,4.62,3.00,3,51.5,CIN,Over
NE,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,27.5,19.6,-7.9,47.1,2.88,1.62,-5,45.5,NE,Over
TEN,LAC,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,17.7,25.8,8.1,43.5,1.41,0.05,9.5,43.5,TEN,Under
DET,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,28.8,15.6,-13.3,44.4,3.75,3.07,-9.5,47.5,DET,Under
GB,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,30.0,12.1,-17.9,42.1,4.90,1.45,-13,43.5,GB,Under
PIT,IND,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,24.7,28.4,3.6,53.1,0.65,1.56,3,51.5,IND,Over
NYG,SF,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,25.4,25.6,0.3,51.0,2.22,2.51,2.5,48.5,NYG,Over
HOU,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,20.4,20.5,0.1,40.9,2.14,0.44,-2,40.5,DEN,Over
LA,NO,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,26.9,11.3,-15.6,38.3,1.60,5.71,-14,44,LA,Under
LV,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,20.9,20.4,-0.5,41.2,2.97,3.26,2.5,44.5,LV,Under
BUF,KC,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,32.7,32.6,-0.1,65.2,2.07,12.73,2,52.5,BUF,Over
WAS,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,25.2,26.5,1.3,51.7,1.68,3.18,3,48.5,WAS,Over
DAL,ARI,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,29.8,28.6,-1.2,58.4,1.85,4.91,-3,53.5,ARI,Over
