cfbd_name,odds_name
Ohio State,Ohio State Buckeyes
Alabama,Alabama Crimson Tide
Oregon,Oregon Ducks
Georgia,Georgia Bulldogs
Oklahoma,Oklahoma Sooners
Ole Miss,Mississippi Rebels
Miami,Miami Hurricanes
Texas,Texas Longhorns
Notre Dame,Notre Dame Fighting Irish
Michigan,Michigan Wolverines
Penn State,Penn State Nittany Lions
LSU,LSU Tigers
Indiana,Indiana Hoosiers
Texas A&M,Texas A&M Aggies
Florida,Florida Gators
USC,USC Trojans
Texas Tech,Texas Tech Red Raiders
Nebraska,Nebraska Cornhuskers
Missouri,Missouri Tigers
Auburn,Auburn Tigers
Tennessee,Tennessee Volunteers
TCU,TCU Horned Frogs
BYU,BYU Cougars
Vanderbilt,Vanderbilt Commodores
Louisville,Louisville Cardinals
Kansas,Kansas Jayhawks
SMU,SMU Mustangs
Clemson,Clemson Tigers
South Carolina,South Carolina Gamecocks
Florida State,Florida State Seminoles
Utah,Utah Utes
Arkansas,Arkansas Razorbacks
Arizona State,Arizona State Sun Devils
Duke,Duke Blue Devils
Iowa,Iowa Hawkeyes
Wisconsin,Wisconsin Badgers
Maryland,Maryland Terrapins
Mississippi State,Mississippi State Bulldogs
Illinois,Illinois Fighting Illini
Kansas State,Kansas State Wildcats
Memphis,Memphis Tigers
Iowa State,Iowa State Cyclones
Cincinnati,Cincinnati Bearcats
Washington,Washington Huskies
Kentucky,Kentucky Wildcats
Baylor,Baylor Bears
UCF,UCF Knights
Tulane,Tulane Green Wave
Arizona,Arizona Wildcats
Michigan State,Michigan State Spartans
Pittsburgh,Pittsburgh Panthers
Georgia Tech,Georgia Tech Yellow Jackets
Colorado,Colorado Buffaloes
Virginia,Virginia Cavaliers
Rutgers,Rutgers Scarlet Knights
Old Dominion,Old Dominion Monarchs
Minnesota,Minnesota Golden Gophers
NC State,NC State Wolfpack
South Florida,South Florida Bulls
East Carolina,East Carolina Pirates
North Texas,North Texas Mean Green
James Madison,James Madison Dukes
Purdue,Purdue Boilermakers
North Carolina,North Carolina Tar Heels
Toledo,Toledo Rockets
California,California Golden Bears
UNLV,UNLV Rebels
Syracuse,Syracuse Orange
Boise State,Boise State Broncos
Virginia Tech,Virginia Tech Hokies
Washington State,Washington State Cougars
San Diego State,San Diego State Aztecs
Texas State,Texas State Bobcats
Navy,Navy Midshipmen
UCLA,UCLA Bruins
Houston,Houston Cougars
Northwestern,Northwestern Wildcats
UTSA,UTSA Roadrunners
Ohio,Ohio Bobcats
UConn,Connecticut Huskies
West Virginia,West Virginia Mountaineers
Wake Forest,Wake Forest Demon Deacons
Boston College,Boston College Eagles
Utah State,Utah State Aggies
Bowling Green,Bowling Green Falcons
Fresno State,Fresno State Bulldogs
Louisiana Tech,Louisiana Tech Bulldogs
Miami (OH),Miami (OH) RedHawks
Oregon State,Oregon State Beavers
South Alabama,South Alabama Jaguars
New Mexico,New Mexico Lobos
Marshall,Marshall Thundering Herd
Army,Army Black Knights
Jacksonville State,Jacksonville State Gamecocks
Western Kentucky,Western Kentucky Hilltoppers
App State,Appalachian State Mountaineers
Georgia Southern,Georgia Southern Eagles
Stanford,Stanford Cardinal
Troy,Troy Trojans
Louisiana,Louisiana Ragin Cajuns
Western Michigan,Western Michigan Broncos
Air Force,Air Force Falcons
Southern Miss,Southern Miss Golden Eagles
Georgia State,Georgia State Panthers
Liberty,Liberty Flames
San José State,San Jose State Spartans
Eastern Michigan,Eastern Michigan Eagles
Missouri State,Missouri State Bears
Colorado State,Colorado State Rams
Rice,Rice Owls
Hawai'i,Hawaii Rainbow Warriors
Oklahoma State,Oklahoma State Cowboys
Buffalo,Buffalo Bulls
UAB,UAB Blazers
Florida Atlantic,Florida Atlantic Owls
Nevada,Nevada Wolf Pack
Northern Illinois,Northern Illinois Huskies
Wyoming,Wyoming Cowboys
Arkansas State,Arkansas State Red Wolves
Tulsa,Tulsa Golden Hurricane
Delaware,Delaware Fightin' Blue Hens
Temple,Temple Owls
Central Michigan,Central Michigan Chippewas
UL Monroe,UL Monroe Warhawks
Florida International,FIU Panthers
UTEP,UTEP Miners
Ball State,Ball State Cardinals
Kennesaw State,Kennesaw State Owls
Coastal Carolina,Coastal Carolina Chanticleers
Middle Tennessee,Middle Tennessee Blue Raiders
Sam Houston,Sam Houston Bearkats
Charlotte,Charlotte 49ers
New Mexico State,New Mexico State Aggies
Akron,Akron Zips
Kent State,Kent State Golden Flashes
Massachusetts,UMass Minutemen
